,SupplierID,SupplierLocation,ShipperID,ShippingMethod,ProductID,ProductName,ProductCategory,ProductSubCategory,ProductPrice,CustomerID,CustomerSegment,DateID,Annee,Mois,Jour,id,QuantitySold,TotalAmount,DiscountAmount,NetAmount,id,StockReceived,StockSold,StockOnHand
14,10,Alexandrachester,5,Sea,31,Kristine,Electronics,Headphones,228.82,3293,Silver,2,2023.0,2.0,11.0,3367,13,2974.66,17.18,2957.48,3367,333,244,89
15,3,South Emilyview,3,Sea,3,Angela,InvalidCategory,Action Figures,386.57,3,Gold,3,2021.0,11.0,12.0,3,89,34404.7,10.56,34394.2,3,341,188,153
16,7,West Scott,14,Ground,21,NonExistentProduct,Books,Academic,951.53,29,Bronze,3,2021.0,11.0,12.0,29,61,58043.3,76.76,57966.6,29,209,47,162
17,2,Calderonchester,12,Ground,36,Fred,Books,Academic,951.53,832,Bronze,3,2021.0,11.0,12.0,839,98,93249.9,21.39,93228.5,839,280,246,34
18,2,Calderonchester,12,Ground,36,Fred,Books,Academic,951.53,832,Bronze,3,2021.0,11.0,12.0,839,98,93249.9,21.39,93228.5,3770,412,75,337
19,2,Calderonchester,1,Ground,22,Cynthia,Electronics,Headphones,872.85,1794,Silver,3,2021.0,11.0,12.0,1823,13,11347.0,66.06,11281.0,1823,139,75,64
20,2,Calderonchester,1,Ground,22,Cynthia,Electronics,Headphones,872.85,1794,Silver,3,2021.0,11.0,12.0,1823,13,11347.0,66.06,11281.0,2336,207,164,43
21,15,Lake Candiceton,15,Air,22,Cynthia,Electronics,Headphones,872.85,2296,Silver,3,2021.0,11.0,12.0,2336,25,21821.2,140.13,21681.1,1823,139,75,64
22,15,Lake Candiceton,15,Air,22,Cynthia,Electronics,Headphones,872.85,2296,Silver,3,2021.0,11.0,12.0,2336,25,21821.2,140.13,21681.1,2336,207,164,43
23,17,West Johnbury,9,Sea,23,Marvin,Clothing,Shirt,995.13,2415,Bronze,3,2021.0,11.0,12.0,2459,77,76625.0,298.11,76326.9,2459,467,62,405
24,18,South Lindatown,4,Air,14,Shawn,Electronics,Headphones,461.09,2659,Bronze,3,2021.0,11.0,12.0,2711,19,8760.71,78.7,8682.01,2711,281,193,88
25,3,South Emilyview,13,Ground,36,Fred,Books,Academic,951.53,3673,Silver,3,2021.0,11.0,12.0,3770,42,39964.3,173.49,39790.8,839,280,246,34
26,3,South Emilyview,13,Ground,36,Fred,Books,Academic,951.53,3673,Silver,3,2021.0,11.0,12.0,3770,42,39964.3,173.49,39790.8,3770,412,75,337
27,2,Calderonchester,16,Air,11,Jamie,Books,Fiction,930.3,3879,Gold,3,2021.0,11.0,12.0,3984,13,12093.9,207.51,11886.4,3984,283,243,40
28,4,West Denise,4,Air,4,Amy,Home & Garden,Decor,364.01,4,Gold,4,,,,4,3,1092.03,69.06,1022.97,4,500,124,376
29,8,Seanfort,11,Sea,17,Elizabeth,Clothing,Shirt,840.19,2261,Bronze,4,,,,2300,36,30246.8,208.68,30038.2,2300,240,224,16
30,1,Irwinhaven,5,Sea,1,Nathaniel,Electronics,Camera,652.35,5,Gold,5,2023.0,4.0,22.0,5,75,48926.2,137.17,48789.1,5,429,351,78
31,1,Irwinhaven,5,Sea,1,Nathaniel,Electronics,Camera,652.35,5,Gold,5,2023.0,4.0,22.0,5,75,48926.2,137.17,48789.1,1426,175,85,90
32,10,Alexandrachester,7,Ground,21,NonExistentProduct,Books,Academic,951.53,88,Silver,5,2023.0,4.0,22.0,88,90,62405.1,45.74,62359.4,88,484,281,203
33,16,Lake Juanland,6,Ground,24,Katie,Books,Non-fiction,642.11,473,Silver,5,2023.0,4.0,22.0,475,23,14768.5,153.49,14615.0,475,325,142,183
34,16,Lake Juanland,6,Ground,24,Katie,Books,Non-fiction,642.11,473,Silver,5,2023.0,4.0,22.0,475,23,14768.5,153.49,14615.0,2411,211,120,91
35,13,West Lindafurt,9,Sea,13,Robert,Electronics,Mobile,847.43,871,Gold,5,2023.0,4.0,22.0,878,94,79658.4,183.34,79475.1,878,203,191,12
36,14,Dustinmouth,3,Sea,1,Nathaniel,Electronics,Camera,652.35,1402,Silver,5,2023.0,4.0,22.0,1426,54,35226.9,118.04,35108.9,5,429,351,78
37,14,Dustinmouth,3,Sea,1,Nathaniel,Electronics,Camera,652.35,1402,Silver,5,2023.0,4.0,22.0,1426,54,35226.9,118.04,35108.9,1426,175,85,90
38,19,Popeport,12,Ground,53,NonExistentProduct,Toys,Action Figures,386.57,2260,Gold,5,2023.0,4.0,22.0,2299,4,1546.28,52.55,1493.73,2299,438,393,45
39,1,Irwinhaven,13,Ground,24,Katie,Books,Non-fiction,642.11,2370,Bronze,5,2023.0,4.0,22.0,2411,35,22473.8,93.39,22380.5,475,325,142,183
40,1,Irwinhaven,13,Ground,24,Katie,Books,Non-fiction,642.11,2370,Bronze,5,2023.0,4.0,22.0,2411,35,22473.8,93.39,22380.5,2411,211,120,91
41,14,Dustinmouth,18,Sea,15,Anthony,Books,Academic,693.39,2971,Bronze,5,2023.0,4.0,22.0,3032,78,54084.4,22.49,54061.9,3032,165,28,137
42,10,Alexandrachester,12,Ground,23,Marvin,Clothing,Shirt,995.13,3102,Gold,5,2023.0,4.0,22.0,3171,11,10946.4,236.95,10709.5,3171,263,21,242
43,4,West Denise,6,Ground,2,NonExistentProduct,Electronics,Mobile,847.43,6,Gold,6,2022.0,12.0,8.0,6,63,53388.1,103.22,53284.9,6,79,61,18
44,3,South Emilyview,15,Air,36,Fred,Books,Academic,951.53,3671,Gold,6,2022.0,12.0,8.0,3768,65,61849.4,186.49,61663.0,3768,229,193,36
45,9,Antonioshire,13,Ground,7,Shannon,Home & Garden,Gardening Tools,68.01,3871,Bronze,6,2022.0,12.0,8.0,3976,32,2176.32,0.69,2175.63,3976,423,345,78
46,12,Herreraland,12,Ground,22,Cynthia,Electronics,Headphones,872.85,4074,Gold,6,2022.0,12.0,8.0,4186,35,30549.8,76.84,30472.9,4186,181,175,6
47,4,West Denise,1,Ground,5,Justin,Electronics,Headphones,660.05,7,Silver,7,2023.0,9.0,13.0,7,39,25741.9,104.2,25637.8,7,339,296,43
48,19,Popeport,12,Ground,35,Michael,Toys,Dolls,46.23,637,Silver,7,2023.0,9.0,13.0,640,11,508.53,6.24,502.29,640,252,245,7
49,1,Irwinhaven,16,Air,16,Pamela,Electronics,Headphones,651.11,1147,Silver,7,2023.0,9.0,13.0,1163,61,39717.7,156.42,39561.3,1163,399,124,275
50,1,Irwinhaven,16,Air,16,Pamela,Electronics,Headphones,651.11,1147,Silver,7,2023.0,9.0,13.0,1163,61,39717.7,156.42,39561.3,1891,441,367,74
51,7,West Scott,17,Air,17,Elizabeth,Clothing,Shirt,840.19,1274,Bronze,7,2023.0,9.0,13.0,1294,58,48731.0,30.63,48700.4,1294,374,250,124
52,6,Port Sarahview,3,Sea,16,Pamela,Electronics,Headphones,651.11,1860,Bronze,7,2023.0,9.0,13.0,1891,87,56646.6,119.87,56526.7,1163,399,124,275
53,6,Port Sarahview,3,Sea,16,Pamela,Electronics,Headphones,651.11,1860,Bronze,7,2023.0,9.0,13.0,1891,87,56646.6,119.87,56526.7,1891,441,367,74
54,14,Dustinmouth,2,Air,19,Wanda,Toys,Educational,268.61,2617,Silver,7,2023.0,9.0,13.0,2667,49,13161.9,27.12,13134.8,2667,95,15,80
55,12,Herreraland,11,Sea,29,NonExistentProduct,Clothing,Shirt,995.13,3549,Bronze,7,2023.0,9.0,13.0,3641,9,7561.71,233.99,7327.72,3641,460,211,249
56,5,Lawsontown,10,Sea,20,Angela,Toys,Action Figures,386.57,4553,Gold,7,2023.0,9.0,13.0,4694,1,386.57,84.77,301.8,4694,175,22,153
57,5,Lawsontown,7,Ground,6,NonExistentProduct,Electronics,Camera,652.35,8,Silver,8,2023.0,7.0,19.0,8,60,39141.0,121.19,39019.8,8,305,53,252
58,2,Calderonchester,17,Air,22,Cynthia,Electronics,Headphones,872.85,142,Silver,8,2023.0,7.0,19.0,142,87,75938.0,228.53,75709.4,142,415,83,332
59,2,Calderonchester,17,Air,22,Cynthia,Electronics,Headphones,872.85,142,Silver,8,2023.0,7.0,19.0,142,87,75938.0,228.53,75709.4,2655,433,60,373
60,10,Alexandrachester,9,Sea,5,Justin,Electronics,Headphones,660.05,783,Silver,8,2023.0,7.0,19.0,788,81,53464.1,113.7,53350.4,788,127,78,49
61,4,West Denise,4,Air,31,Kristine,Electronics,Headphones,228.82,1998,Silver,8,2023.0,7.0,19.0,2034,67,15330.9,41.97,15289.0,2034,192,166,26
62,2,Calderonchester,4,Air,22,Cynthia,Electronics,Headphones,872.85,2605,Bronze,8,2023.0,7.0,19.0,2655,63,54989.6,155.78,54833.8,142,415,83,332
63,2,Calderonchester,4,Air,22,Cynthia,Electronics,Headphones,872.85,2605,Bronze,8,2023.0,7.0,19.0,2655,63,54989.6,155.78,54833.8,2655,433,60,373
64,16,Lake Juanland,16,Air,14,Shawn,Electronics,Headphones,461.09,2883,Gold,8,2023.0,7.0,19.0,2941,17,7838.53,120.52,7718.01,2941,260,122,138
65,15,Lake Candiceton,14,Ground,15,Anthony,Books,Academic,693.39,4613,Silver,8,2023.0,7.0,19.0,4756,94,65178.7,179.94,64998.7,4756,220,66,154
66,13,West Lindafurt,5,Sea,2,NonExistentProduct,Electronics,Mobile,847.43,4744,Silver,8,2023.0,7.0,19.0,4891,3,2542.29,198.17,2344.12,4891,312,96,216
67,6,Port Sarahview,8,Air,7,Shannon,Home & Garden,Gardening Tools,68.01,9,Gold,9,2023.0,8.0,20.0,9,92,6256.92,18.11,6238.81,9,440,338,102
68,6,Port Sarahview,8,Air,7,Shannon,Home & Garden,Gardening Tools,68.01,9,Gold,9,2023.0,8.0,20.0,9,92,6256.92,18.11,6238.81,4520,411,343,68
69,8,Seanfort,17,Air,4,Amy,Home & Garden,Decor,364.01,593,Gold,9,2023.0,8.0,20.0,596,55,20020.6,89.8,19930.8,596,118,110,8
70,20,Leslieville,6,Ground,14,Shawn,Electronics,Headphones,461.09,2225,Silver,9,2023.0,8.0,20.0,2262,88,40575.9,106.75,40469.2,2262,57,17,40
71,4,West Denise,14,Ground,24,Katie,Books,Non-fiction,642.11,3067,Bronze,9,2023.0,8.0,20.0,3133,24,15410.6,155.23,15255.4,3133,344,281,63
72,6,Port Sarahview,3,Sea,1,Nathaniel,Electronics,Camera,652.35,3285,Bronze,9,2023.0,8.0,20.0,3359,12,7828.2,181.01,7647.19,3359,495,306,189
73,12,Herreraland,14,Ground,7,Shannon,Home & Garden,Gardening Tools,68.01,4388,Bronze,9,2023.0,8.0,20.0,4520,64,4352.64,4.3,4348.34,9,440,338,102
74,12,Herreraland,14,Ground,7,Shannon,Home & Garden,Gardening Tools,68.01,4388,Bronze,9,2023.0,8.0,20.0,4520,64,4352.64,4.3,4348.34,4520,411,343,68
75,3,South Emilyview,8,Air,36,Fred,Books,Academic,951.53,4700,Gold,9,2023.0,8.0,20.0,4845,12,11418.4,233.96,11184.4,4845,164,73,91
76,7,West Scott,2,Air,8,NonExistentProduct,Home & Garden,Decor,364.01,10,Gold,10,2023.0,7.0,15.0,10,55,20020.6,53.26,19967.3,10,260,254,6
77,1,Irwinhaven,5,Sea,42,NonExistentProduct,Toys,Dolls,46.23,131,Gold,10,2023.0,7.0,15.0,131,86,3975.78,5.13,3970.65,131,170,1,169
78,18,South Lindatown,12,Ground,14,Shawn,Electronics,Headphones,461.09,467,Gold,10,2023.0,7.0,15.0,469,48,22132.3,133.94,21998.4,469,464,25,439
79,3,South Emilyview,16,Air,7,Shannon,Home & Garden,Gardening Tools,68.01,1839,Bronze,10,2023.0,7.0,15.0,1870,6,408.06,3.32,404.74,1870,473,133,340
80,11,Dennischester,9,Sea,11,Jamie,Books,Fiction,930.3,2531,Bronze,10,2023.0,7.0,15.0,2578,44,40933.2,97.33,40835.9,2578,261,191,70
81,4,West Denise,10,Sea,22,Cynthia,Electronics,Headphones,872.85,2997,Bronze,10,2023.0,7.0,15.0,3060,95,82920.8,60.86,82859.9,3060,454,93,361
82,15,Lake Candiceton,2,Air,57,Kristine,InvalidCategory,Headphones,228.82,4801,Silver,10,2023.0,7.0,15.0,4953,31,7093.42,52.45,7040.97,4953,326,302,24
83,16,Lake Juanland,16,Air,16,Pamela,Electronics,Headphones,651.11,4811,Bronze,10,2023.0,7.0,15.0,4964,35,22788.8,112.95,22675.9,4964,318,6,312
84,8,Seanfort,4,Air,9,Martha,Books,Fiction,433.1,11,Gold,11,,,,11,23,9961.3,33.11,9928.19,11,238,161,77
85,3,South Emilyview,1,Ground,8,NonExistentProduct,Home & Garden,Decor,364.01,828,Bronze,11,,,,835,47,17108.5,59.4,17049.1,835,99,84,15
86,17,West Johnbury,18,Sea,19,Wanda,Toys,Educational,268.61,2034,Bronze,11,,,,2070,45,12087.5,67.31,12020.1,2070,329,135,194
87,9,Antonioshire,9,Sea,5,Justin,Electronics,Headphones,660.05,12,Silver,12,2022.0,5.0,6.0,12,1,660.05,56.28,603.77,12,121,13,108
88,9,Antonioshire,9,Sea,5,Justin,Electronics,Headphones,660.05,12,Silver,12,2022.0,5.0,6.0,12,1,660.05,56.28,603.77,1897,258,1,257
89,9,Antonioshire,9,Sea,5,Justin,Electronics,Headphones,660.05,12,Silver,12,2022.0,5.0,6.0,12,1,660.05,56.28,603.77,2949,157,90,67
90,14,Dustinmouth,5,Sea,20,Angela,Toys,Action Figures,386.57,1384,Bronze,12,2022.0,5.0,6.0,1408,94,36337.6,48.23,36289.4,1408,447,155,292
91,14,Dustinmouth,5,Sea,20,Angela,Toys,Action Figures,386.57,1384,Bronze,12,2022.0,5.0,6.0,1408,94,36337.6,48.23,36289.4,3129,353,155,198
92,12,Herreraland,2,Air,5,Justin,Electronics,Headphones,660.05,1866,Bronze,12,2022.0,5.0,6.0,1897,77,50823.9,192.71,50631.1,12,121,13,108
93,12,Herreraland,2,Air,5,Justin,Electronics,Headphones,660.05,1866,Bronze,12,2022.0,5.0,6.0,1897,77,50823.9,192.71,50631.1,1897,258,1,257
94,12,Herreraland,2,Air,5,Justin,Electronics,Headphones,660.05,1866,Bronze,12,2022.0,5.0,6.0,1897,77,50823.9,192.71,50631.1,2949,157,90,67
95,11,Dennischester,3,Sea,13,Robert,Electronics,Mobile,847.43,2614,Silver,12,2022.0,5.0,6.0,2664,33,27965.2,58.85,27906.3,2664,279,137,142
96,11,Dennischester,3,Sea,13,Robert,Electronics,Mobile,847.43,2614,Silver,12,2022.0,5.0,6.0,2664,33,27965.2,58.85,27906.3,3634,79,28,51
97,15,Lake Candiceton,5,Sea,5,Justin,Electronics,Headphones,660.05,2891,Silver,12,2022.0,5.0,6.0,2949,20,13201.0,126.92,13074.1,12,121,13,108
98,15,Lake Candiceton,5,Sea,5,Justin,Electronics,Headphones,660.05,2891,Silver,12,2022.0,5.0,6.0,2949,20,13201.0,126.92,13074.1,1897,258,1,257
99,15,Lake Candiceton,5,Sea,5,Justin,Electronics,Headphones,660.05,2891,Silver,12,2022.0,5.0,6.0,2949,20,13201.0,126.92,13074.1,2949,157,90,67
100,15,Lake Candiceton,7,Ground,20,Angela,Toys,Action Figures,386.57,3063,Bronze,12,2022.0,5.0,6.0,3129,26,10050.8,52.68,9998.14,1408,447,155,292
101,15,Lake Candiceton,7,Ground,20,Angela,Toys,Action Figures,386.57,3063,Bronze,12,2022.0,5.0,6.0,3129,26,10050.8,52.68,9998.14,3129,353,155,198
102,12,Herreraland,12,Ground,50,Katie,InvalidCategory,Non-fiction,642.11,3170,Gold,12,2022.0,5.0,6.0,3240,75,48158.2,69.03,48089.2,3240,302,189,113
103,9,Antonioshire,12,Ground,16,Pamela,Electronics,Headphones,651.11,3174,Bronze,12,2022.0,5.0,6.0,3244,26,16928.9,136.23,16792.6,3244,244,57,187
104,9,Antonioshire,13,Ground,13,Robert,Electronics,Mobile,847.43,3542,Silver,12,2022.0,5.0,6.0,3634,66,55930.4,213.16,55717.2,2664,279,137,142
105,9,Antonioshire,13,Ground,13,Robert,Electronics,Mobile,847.43,3542,Silver,12,2022.0,5.0,6.0,3634,66,55930.4,213.16,55717.2,3634,79,28,51
106,15,Lake Candiceton,15,Air,22,Cynthia,Electronics,Headphones,872.85,3687,Bronze,12,2022.0,5.0,6.0,3786,23,20075.6,4.69,20070.9,3786,63,37,26
107,10,Alexandrachester,7,Ground,10,Elizabeth,InvalidCategory,Shirt,840.19,13,Bronze,13,2023.0,9.0,19.0,13,93,78137.7,251.64,77886.0,13,290,147,143
108,16,Lake Juanland,5,Sea,50,Katie,InvalidCategory,Non-fiction,642.11,548,Silver,13,2023.0,9.0,19.0,550,65,41737.1,104.75,41632.4,550,499,54,445
109,16,Lake Juanland,5,Sea,50,Katie,InvalidCategory,Non-fiction,642.11,548,Silver,13,2023.0,9.0,19.0,550,65,41737.1,104.75,41632.4,789,260,216,44
110,3,South Emilyview,13,Ground,50,Katie,InvalidCategory,Non-fiction,642.11,546,Gold,13,2023.0,9.0,19.0,789,52,33389.7,86.38,33303.3,550,499,54,445
111,3,South Emilyview,13,Ground,50,Katie,InvalidCategory,Non-fiction,642.11,546,Gold,13,2023.0,9.0,19.0,789,52,33389.7,86.38,33303.3,789,260,216,44
112,2,Calderonchester,2,Air,4,Amy,Home & Garden,Decor,364.01,845,Gold,13,2023.0,9.0,19.0,852,62,22568.6,10.9,22557.7,852,216,62,154
113,2,Calderonchester,4,Air,28,Michael,InvalidCategory,Dolls,46.23,1509,Gold,13,2023.0,9.0,19.0,1535,34,1571.82,5.33,1566.49,1535,271,127,144
114,8,Seanfort,17,Air,1,Nathaniel,Electronics,Camera,652.35,2649,Silver,13,2023.0,9.0,19.0,2701,76,49578.6,97.23,49481.4,2701,354,88,266
115,20,Leslieville,12,Ground,6,NonExistentProduct,Electronics,Camera,652.35,2688,Silver,13,2023.0,9.0,19.0,2741,25,16308.8,82.34,16226.4,2741,282,34,248
116,11,Dennischester,9,Sea,11,Jamie,Books,Fiction,930.3,14,Gold,14,2022.0,10.0,19.0,14,60,55818.0,136.73,55681.3,14,319,94,225
117,6,Port Sarahview,17,Air,16,Pamela,Electronics,Headphones,651.11,3079,Silver,14,2022.0,10.0,19.0,3569,74,48182.1,103.67,48078.5,3569,497,339,158
118,12,Herreraland,1,Ground,12,NonExistentProduct,Books,Fiction,433.1,15,Bronze,15,2022.0,8.0,30.0,15,43,18623.3,37.6,18585.7,15,232,3,229
119,16,Lake Juanland,9,Sea,7,Shannon,Home & Garden,Gardening Tools,68.01,817,Silver,15,2022.0,8.0,30.0,824,93,6324.93,16.31,6308.62,824,311,262,49
120,13,West Lindafurt,11,Sea,3,Angela,InvalidCategory,Action Figures,386.57,1595,Silver,15,2022.0,8.0,30.0,1621,12,4638.84,36.78,4602.06,1621,112,16,96
121,1,Irwinhaven,5,Sea,14,Shawn,Electronics,Headphones,461.09,3806,Silver,15,2022.0,8.0,30.0,3910,57,26282.1,16.59,26265.5,3910,180,175,5
122,3,South Emilyview,10,Sea,11,Jamie,Books,Fiction,930.3,16,Silver,16,2023.0,1.0,25.0,16,11,10233.3,160.82,10072.5,16,250,130,120
123,3,South Emilyview,10,Sea,11,Jamie,Books,Fiction,930.3,16,Silver,16,2023.0,1.0,25.0,16,11,10233.3,160.82,10072.5,1728,66,24,42
124,7,West Scott,12,Ground,30,Tammy,Home & Garden,Furniture,431.82,151,Bronze,16,2023.0,1.0,25.0,151,46,19863.7,91.12,19772.6,151,262,153,109
125,7,West Scott,12,Ground,30,Tammy,Home & Garden,Furniture,431.82,151,Bronze,16,2023.0,1.0,25.0,151,46,19863.7,91.12,19772.6,1921,483,402,81
126,2,Calderonchester,12,Ground,5,Justin,Electronics,Headphones,660.05,314,Silver,16,2023.0,1.0,25.0,316,43,28382.2,89.04,28293.1,316,339,171,168
127,3,South Emilyview,8,Air,31,Kristine,Electronics,Headphones,228.82,912,Gold,16,2023.0,1.0,25.0,920,11,2517.02,58.2,2458.82,920,452,391,61
128,4,West Denise,6,Ground,14,Shawn,Electronics,Headphones,461.09,1497,Bronze,16,2023.0,1.0,25.0,1523,18,8299.62,126.41,8173.21,1523,98,20,78
129,4,West Denise,6,Ground,14,Shawn,Electronics,Headphones,461.09,1497,Bronze,16,2023.0,1.0,25.0,1523,18,8299.62,126.41,8173.21,4536,404,141,263
130,1,Irwinhaven,10,Sea,13,Robert,Electronics,Mobile,847.43,1649,Silver,16,2023.0,1.0,25.0,1675,10,8474.3,17.8,8456.5,1675,212,75,137
131,5,Lawsontown,8,Air,11,Jamie,Books,Fiction,930.3,1700,Silver,16,2023.0,1.0,25.0,1728,79,73493.7,58.42,73435.3,16,250,130,120
132,5,Lawsontown,8,Air,11,Jamie,Books,Fiction,930.3,1700,Silver,16,2023.0,1.0,25.0,1728,79,73493.7,58.42,73435.3,1728,66,24,42
133,12,Herreraland,1,Ground,16,Pamela,Electronics,Headphones,651.11,1765,Bronze,16,2023.0,1.0,25.0,1794,28,18231.1,133.74,18097.3,1794,50,2,48
134,11,Dennischester,15,Air,30,Tammy,Home & Garden,Furniture,431.82,1890,Silver,16,2023.0,1.0,25.0,1921,75,32386.5,82.9,32303.6,151,262,153,109
135,11,Dennischester,15,Air,30,Tammy,Home & Garden,Furniture,431.82,1890,Silver,16,2023.0,1.0,25.0,1921,75,32386.5,82.9,32303.6,1921,483,402,81
136,3,South Emilyview,2,Air,12,NonExistentProduct,Books,Fiction,433.1,2976,Silver,16,2023.0,1.0,25.0,3037,88,81866.4,86.46,81779.9,3037,209,49,160
137,12,Herreraland,16,Air,19,Wanda,Toys,Educational,268.61,4374,Bronze,16,2023.0,1.0,25.0,4506,62,16653.8,8.84,16645.0,4506,223,41,182
138,16,Lake Juanland,11,Sea,14,Shawn,Electronics,Headphones,461.09,3275,Bronze,16,2023.0,1.0,25.0,4536,99,45647.9,109.41,45538.5,1523,98,20,78
139,16,Lake Juanland,11,Sea,14,Shawn,Electronics,Headphones,461.09,3275,Bronze,16,2023.0,1.0,25.0,4536,99,45647.9,109.41,45538.5,4536,404,141,263
140,11,Dennischester,11,Sea,13,Robert,Electronics,Mobile,847.43,17,Silver,17,2022.0,11.0,2.0,17,67,56777.8,104.73,56673.1,17,214,113,101
141,18,South Lindatown,4,Air,1,Nathaniel,Electronics,Camera,652.35,665,Silver,17,2022.0,11.0,2.0,668,64,41750.4,12.47,41737.9,668,403,259,144
142,3,South Emilyview,17,Air,35,Michael,Toys,Dolls,46.23,1089,Gold,17,2022.0,11.0,2.0,1103,73,3374.79,6.27,3368.52,1103,212,45,167
143,3,South Emilyview,17,Air,35,Michael,Toys,Dolls,46.23,1089,Gold,17,2022.0,11.0,2.0,1103,73,3374.79,6.27,3368.52,3697,137,104,33
144,5,Lawsontown,17,Air,20,Angela,Toys,Action Figures,386.57,1535,Gold,17,2022.0,11.0,2.0,1561,94,36337.6,107.07,36230.5,1561,174,155,19
145,3,South Emilyview,17,Air,5,Justin,Electronics,Headphones,660.05,2511,Bronze,17,2022.0,11.0,2.0,2558,40,26402.0,168.85,26233.2,2558,499,245,254
146,18,South Lindatown,13,Ground,24,Katie,Books,Non-fiction,642.11,3200,Bronze,17,2022.0,11.0,2.0,3274,72,46231.9,153.91,46078.0,3274,117,28,89
147,10,Alexandrachester,9,Sea,35,Michael,Toys,Dolls,46.23,3603,Gold,17,2022.0,11.0,2.0,3697,32,1479.36,2.31,1477.05,1103,212,45,167
148,10,Alexandrachester,9,Sea,35,Michael,Toys,Dolls,46.23,3603,Gold,17,2022.0,11.0,2.0,3697,32,1479.36,2.31,1477.05,3697,137,104,33
149,5,Lawsontown,12,Ground,16,Pamela,Electronics,Headphones,651.11,4440,Silver,17,2022.0,11.0,2.0,4578,96,62506.6,53.84,62452.7,4578,77,56,21
150,12,Herreraland,4,Air,14,Shawn,Electronics,Headphones,461.09,18,Silver,18,2023.0,7.0,29.0,18,51,23515.6,92.28,23423.3,18,412,41,371
151,12,Herreraland,4,Air,14,Shawn,Electronics,Headphones,461.09,18,Silver,18,2023.0,7.0,29.0,18,51,23515.6,92.28,23423.3,1646,369,196,173
152,11,Dennischester,10,Sea,17,Elizabeth,Clothing,Shirt,840.19,539,Bronze,18,2023.0,7.0,29.0,541,86,72256.3,222.18,72034.2,541,225,38,187
153,11,Dennischester,10,Sea,17,Elizabeth,Clothing,Shirt,840.19,539,Bronze,18,2023.0,7.0,29.0,541,86,72256.3,222.18,72034.2,3014,360,335,25
154,13,West Lindafurt,1,Ground,1,Nathaniel,Electronics,Camera,652.35,851,Gold,18,2023.0,7.0,29.0,858,40,26094.0,170.44,25923.6,858,284,128,156
155,18,South Lindatown,6,Ground,14,Shawn,Electronics,Headphones,461.09,1620,Gold,18,2023.0,7.0,29.0,1646,91,41959.2,25.45,41933.7,18,412,41,371
156,18,South Lindatown,6,Ground,14,Shawn,Electronics,Headphones,461.09,1620,Gold,18,2023.0,7.0,29.0,1646,91,41959.2,25.45,41933.7,1646,369,196,173
